received_at,event_id,product_id,store_id,category,current_stock,shelf_capacity,sales_last_10min,replenishment_pending,timestamp,stockout_probability,alert_source,alert_reason
2026-06-08T15:55:58,EVT161904,P008,S03,household,4,30,10,0,2026-06-08T15:55:58.462962,0.7521,ml_model,High stock-out probability
2026-06-08T15:55:59,EVT949971,P010,S04,bakery,7,35,11,0,2026-06-08T15:55:59.970136,0.7502,ml_model,High stock-out probability
2026-06-08T15:56:03,EVT346845,P019,S01,household,11,30,15,0,2026-06-08T15:56:02.991901,0.7548,ml_model,High stock-out probability
2026-06-08T15:56:03,EVT271200,P016,S01,beverages,4,60,11,0,2026-06-08T15:56:03.495093,0.7747,ml_model,High stock-out probability
2026-06-08T15:56:08,EVT883896,P014,S04,bakery,10,35,16,0,2026-06-08T15:56:08.542127,0.8068,ml_model,High stock-out probability
2026-06-08T15:56:10,EVT288112,P011,S02,household,0,30,11,0,2026-06-08T15:56:10.053309,0.8062,ml_model,High stock-out probability
2026-06-08T15:56:11,EVT133333,P006,S04,bakery,15,35,16,0,2026-06-08T15:56:11.062191,0.7912,ml_model,High stock-out probability
2026-06-08T15:56:12,EVT935318,P003,S02,frozen,0,45,14,0,2026-06-08T15:56:12.071587,0.8736,ml_model,High stock-out probability
2026-06-08T15:56:13,EVT176046,P011,S02,snacks,12,50,14,0,2026-06-08T15:56:13.080669,0.8074,ml_model,High stock-out probability
2026-06-08T15:56:14,EVT766896,P011,S01,beverages,2,60,12,0,2026-06-08T15:56:14.090384,0.8462,ml_model,High stock-out probability
2026-06-08T15:56:15,EVT794305,P003,S02,household,1,30,17,0,2026-06-08T15:56:15.600755,0.8914,ml_model,High stock-out probability
2026-06-08T15:56:19,EVT463251,P004,S03,bakery,5,35,15,0,2026-06-08T15:56:19.125355,0.8553,ml_model,High stock-out probability
2026-06-08T15:56:22,EVT471624,P010,S03,snacks,2,50,17,0,2026-06-08T15:56:22.144918,0.9034,ml_model,High stock-out probability
2026-06-08T15:56:26,EVT773375,P002,S02,beverages,4,60,13,0,2026-06-08T15:56:26.168902,0.8539,ml_model,High stock-out probability
2026-06-08T15:56:28,EVT532848,P015,S02,bakery,11,35,14,0,2026-06-08T15:56:28.682950,0.7836,ml_model,High stock-out probability
2026-06-08T15:56:31,EVT224774,P007,S03,bakery,3,35,14,0,2026-06-08T15:56:31.203657,0.8565,ml_model,High stock-out probability
2026-06-08T15:56:31,EVT498284,P013,S03,dairy,7,40,14,0,2026-06-08T15:56:31.706647,0.8362,ml_model,High stock-out probability
2026-06-08T15:56:32,EVT243064,P003,S01,snacks,0,50,10,0,2026-06-08T15:56:32.713552,0.8188,ml_model,High stock-out probability
2026-06-08T15:56:33,EVT499719,P009,S03,beverages,6,60,15,0,2026-06-08T15:56:33.721999,0.8737,ml_model,High stock-out probability
2026-06-08T15:56:34,EVT160237,P012,S03,frozen,11,45,13,0,2026-06-08T15:56:34.725025,0.7902,ml_model,High stock-out probability
2026-06-08T15:56:38,EVT305218,P012,S02,dairy,8,40,16,0,2026-06-08T15:56:38.250411,0.8738,ml_model,High stock-out probability
2026-06-08T15:56:41,EVT938686,P019,S03,frozen,6,45,13,0,2026-06-08T15:56:41.266181,0.8561,ml_model,High stock-out probability
2026-06-08T15:56:41,EVT859903,P007,S03,dairy,16,40,16,0,2026-06-08T15:56:41.769849,0.8002,ml_model,High stock-out probability
2026-06-08T15:56:42,EVT625409,P019,S03,snacks,4,50,17,0,2026-06-08T15:56:42.275857,0.9145,ml_model,High stock-out probability
2026-06-08T15:56:46,EVT798353,P005,S04,dairy,3,40,12,0,2026-06-08T15:56:46.314483,0.8613,ml_model,High stock-out probability
2026-06-08T15:56:47,EVT368506,P004,S01,bakery,0,35,12,0,2026-06-08T15:56:47.321244,0.8849,ml_model,High stock-out probability
2026-06-08T15:56:51,EVT511568,P016,S03,beverages,16,60,12,0,2026-06-08T15:56:51.345405,0.7736,ml_model,High stock-out probability
2026-06-08T15:56:53,EVT656796,P016,S03,bakery,12,35,14,0,2026-06-08T15:56:53.356981,0.7947,ml_model,High stock-out probability
2026-06-08T15:56:54,EVT496651,P014,S03,bakery,0,35,11,0,2026-06-08T15:56:54.865748,0.8722,ml_model,High stock-out probability
2026-06-08T15:56:59,EVT474224,P001,S01,snacks,3,50,5,0,2026-06-08T15:56:59.396529,0.7529,ml_model,High stock-out probability
2026-06-08T15:57:01,EVT195326,P009,S01,frozen,1,45,16,0,2026-06-08T15:57:01.410911,0.8784,ml_model,High stock-out probability
2026-06-08T15:57:01,EVT527469,P004,S01,household,5,30,17,0,2026-06-08T15:57:01.916761,0.8501,ml_model,High stock-out probability
2026-06-08T15:57:05,EVT289455,P018,S01,bakery,1,35,12,0,2026-06-08T15:57:05.443998,0.8348,ml_model,High stock-out probability
2026-06-08T15:57:07,EVT158040,P001,S04,dairy,14,40,16,0,2026-06-08T15:57:07.964554,0.7866,ml_model,High stock-out probability
2026-06-08T15:57:14,EVT218076,P013,S03,dairy,7,40,16,0,2026-06-08T15:57:14.508589,0.8448,ml_model,High stock-out probability
2026-06-08T15:57:16,EVT882100,P018,S02,beverages,16,60,16,0,2026-06-08T15:57:16.525447,0.8063,ml_model,High stock-out probability
2026-06-08T15:57:19,EVT577980,P005,S02,snacks,0,50,10,0,2026-06-08T15:57:19.046198,0.8138,ml_model,High stock-out probability
2026-06-08T15:57:19,EVT264521,P002,S04,household,4,30,16,0,2026-06-08T15:57:19.551405,0.8442,ml_model,High stock-out probability
2026-06-08T15:57:24,EVT661262,P006,S04,frozen,0,45,11,0,2026-06-08T15:57:24.090158,0.8221,ml_model,High stock-out probability
2026-06-08T15:57:24,EVT896584,P003,S03,dairy,5,40,12,0,2026-06-08T15:57:24.597060,0.8055,ml_model,High stock-out probability
2026-06-08T15:57:25,EVT976958,P006,S01,snacks,11,50,12,0,2026-06-08T15:57:25.601304,0.7612,ml_model,High stock-out probability
2026-06-08T15:57:27,EVT448620,P003,S03,dairy,1,40,13,0,2026-06-08T15:57:27.117308,0.8445,ml_model,High stock-out probability
2026-06-08T15:57:33,EVT805120,P007,S02,bakery,3,35,10,0,2026-06-08T15:57:33.177699,0.7749,ml_model,High stock-out probability
2026-06-08T15:57:36,EVT820862,P017,S02,bakery,0,35,12,0,2026-06-08T15:57:36.707239,0.8332,ml_model,High stock-out probability
2026-06-08T15:57:39,EVT964278,P013,S03,dairy,5,40,17,0,2026-06-08T15:57:39.232276,0.8663,ml_model,High stock-out probability
2026-06-08T15:57:40,EVT369922,P014,S04,beverages,0,60,11,0,2026-06-08T15:57:40.242650,0.8172,ml_model,High stock-out probability
2026-06-08T15:57:42,EVT857705,P006,S02,household,2,30,17,0,2026-06-08T15:57:42.764224,0.8552,ml_model,High stock-out probability
2026-06-08T15:57:44,EVT180948,P020,S02,household,8,30,18,0,2026-06-08T15:57:44.778166,0.8136,ml_model,High stock-out probability
2026-06-08T15:57:45,EVT579659,P008,S04,beverages,2,60,17,0,2026-06-08T15:57:45.792370,0.881,ml_model,High stock-out probability
2026-06-08T15:57:50,EVT980361,P008,S03,snacks,11,50,14,0,2026-06-08T15:57:50.842523,0.7752,ml_model,High stock-out probability
2026-06-08T15:57:51,EVT450744,P009,S04,snacks,1,50,15,0,2026-06-08T15:57:51.348461,0.8549,ml_model,High stock-out probability
2026-06-08T15:58:03,EVT398812,P009,S01,bakery,4,35,16,0,2026-06-08T15:58:03.458743,0.8362,ml_model,High stock-out probability
2026-06-08T15:58:03,EVT745910,P017,S04,frozen,3,45,16,0,2026-06-08T15:58:03.960917,0.8142,ml_model,High stock-out probability
2026-06-08T15:58:05,EVT700931,P009,S03,bakery,5,35,17,0,2026-06-08T15:58:05.474778,0.8433,ml_model,High stock-out probability
2026-06-08T15:58:16,EVT215987,P002,S03,frozen,6,45,17,0,2026-06-08T15:58:16.505070,0.8135,ml_model,High stock-out probability
2026-06-08T15:58:17,EVT709674,P008,S02,snacks,8,50,15,0,2026-06-08T15:58:17.510835,0.8259,ml_model,High stock-out probability
2026-06-08T15:58:18,EVT852176,P018,S03,bakery,0,35,15,1,2026-06-08T15:58:18.524915,0.7943,ml_model,High stock-out probability
2026-06-08T15:58:19,EVT573980,P008,S04,bakery,3,35,13,0,2026-06-08T15:58:19.528062,0.8531,ml_model,High stock-out probability
2026-06-08T15:58:20,EVT284942,P010,S03,snacks,14,50,16,0,2026-06-08T15:58:20.536054,0.7968,ml_model,High stock-out probability
2026-06-08T15:58:23,EVT297957,P009,S04,beverages,2,60,17,0,2026-06-08T15:58:23.051960,0.8828,ml_model,High stock-out probability
2026-06-08T15:58:23,EVT473573,P002,S02,bakery,5,35,13,0,2026-06-08T15:58:23.554986,0.8389,ml_model,High stock-out probability
2026-06-08T15:58:26,EVT402748,P014,S01,dairy,7,40,16,0,2026-06-08T15:58:26.578870,0.8701,ml_model,High stock-out probability
2026-06-08T15:58:27,EVT209440,P011,S03,snacks,4,50,13,0,2026-06-08T15:58:27.081092,0.8221,ml_model,High stock-out probability
2026-06-08T15:58:28,EVT660560,P006,S01,bakery,7,35,18,0,2026-06-08T15:58:28.591524,0.887,ml_model,High stock-out probability
2026-06-08T15:58:29,EVT385094,P008,S04,frozen,3,45,18,0,2026-06-08T15:58:29.093856,0.8885,ml_model,High stock-out probability
2026-06-08T15:58:31,EVT456283,P011,S03,bakery,0,35,12,0,2026-06-08T15:58:31.609911,0.8639,ml_model,High stock-out probability
2026-06-08T15:58:32,EVT293905,P001,S04,beverages,15,60,16,0,2026-06-08T15:58:32.112931,0.796,ml_model,High stock-out probability
2026-06-08T15:58:35,EVT440446,P003,S02,dairy,1,40,11,0,2026-06-08T15:58:35.641254,0.8462,ml_model,High stock-out probability
2026-06-08T15:58:38,EVT658658,P013,S02,dairy,6,40,17,0,2026-06-08T15:58:38.154638,0.8865,ml_model,High stock-out probability
2026-06-08T15:58:43,EVT821143,P002,S02,snacks,4,50,16,0,2026-06-08T15:58:43.191333,0.8683,ml_model,High stock-out probability
2026-06-08T15:58:50,EVT468748,P005,S02,dairy,8,40,11,0,2026-06-08T15:58:50.230031,0.7707,ml_model,High stock-out probability
