event_id,product_id,store_id,category,timestamp,current_stock,shelf_capacity,sales_last_10min,stock_ratio,replenishment_pending,category_encoded,store_encoded,stockout_label
EVT845151,P020,S01,dairy,2026-06-08T15:55:47.878853,4,40,8,0.1,1,0,0,0
EVT713554,P014,S01,frozen,2026-06-08T15:55:48.381960,12,45,7,0.2667,1,4,0,0
EVT986216,P008,S01,dairy,2026-06-08T15:55:48.884195,5,40,6,0.125,1,0,0,1
EVT950978,P004,S03,snacks,2026-06-08T15:55:49.385233,16,50,11,0.32,0,3,2,1
EVT700461,P014,S01,snacks,2026-06-08T15:55:49.894395,17,50,11,0.34,0,3,0,1
EVT610572,P003,S03,frozen,2026-06-08T15:55:50.400643,6,45,5,0.1333,0,4,2,1
EVT642695,P004,S04,dairy,2026-06-08T15:55:50.902722,23,40,0,0.575,0,0,3,0
EVT369001,P010,S01,bakery,2026-06-08T15:55:51.404806,21,35,2,0.6,0,1,0,0
EVT743538,P006,S03,dairy,2026-06-08T15:55:51.910889,22,40,6,0.55,0,0,2,0
EVT292802,P018,S03,beverages,2026-06-08T15:55:52.417985,50,60,3,0.8333,0,2,2,0
EVT327835,P019,S04,beverages,2026-06-08T15:55:52.923950,25,60,9,0.4167,0,2,3,1
EVT740762,P006,S01,beverages,2026-06-08T15:55:53.426596,16,60,9,0.2667,0,2,0,1
EVT386860,P009,S01,bakery,2026-06-08T15:55:53.929433,34,35,3,0.9714,0,1,0,0
EVT822223,P012,S03,household,2026-06-08T15:55:54.437119,11,30,11,0.3667,0,5,2,1
EVT385346,P008,S01,bakery,2026-06-08T15:55:54.940838,15,35,8,0.4286,1,1,0,1
EVT725368,P001,S04,household,2026-06-08T15:55:55.442944,12,30,9,0.4,0,5,3,1
EVT633732,P012,S02,household,2026-06-08T15:55:55.944140,10,30,15,0.3333,0,5,1,1
EVT722750,P007,S04,beverages,2026-06-08T15:55:56.446263,6,60,4,0.1,0,2,3,1
EVT706849,P005,S03,snacks,2026-06-08T15:55:56.950920,0,50,13,0.0,1,3,2,0
EVT598889,P012,S01,beverages,2026-06-08T15:55:57.458573,39,60,2,0.65,0,2,0,1
EVT123778,P006,S04,snacks,2026-06-08T15:55:57.961007,26,50,2,0.52,0,3,3,1
EVT161904,P008,S03,household,2026-06-08T15:55:58.462962,4,30,10,0.1333,0,5,2,1
EVT395784,P011,S04,bakery,2026-06-08T15:55:58.965164,6,35,0,0.1714,0,1,3,1
EVT716473,P008,S01,snacks,2026-06-08T15:55:59.467577,8,50,8,0.16,1,3,0,0
EVT949971,P010,S04,bakery,2026-06-08T15:55:59.970136,7,35,11,0.2,0,1,3,1
EVT118495,P003,S03,frozen,2026-06-08T15:56:00.476290,35,45,6,0.7778,0,4,2,0
EVT833804,P016,S04,frozen,2026-06-08T15:56:00.978120,6,45,5,0.1333,0,4,3,1
EVT438649,P002,S02,dairy,2026-06-08T15:56:01.479590,1,40,11,0.025,1,0,1,1
EVT691546,P012,S01,household,2026-06-08T15:56:01.982737,10,30,8,0.3333,0,5,0,0
EVT971972,P012,S01,dairy,2026-06-08T15:56:02.485216,11,40,9,0.275,0,0,0,1
EVT346845,P019,S01,household,2026-06-08T15:56:02.991901,11,30,15,0.3667,0,5,0,1
EVT271200,P016,S01,beverages,2026-06-08T15:56:03.495093,4,60,11,0.0667,0,2,0,1
EVT572156,P015,S04,household,2026-06-08T15:56:04.000850,13,30,6,0.4333,1,5,3,0
EVT693122,P002,S02,bakery,2026-06-08T15:56:04.503114,14,35,15,0.4,0,1,1,1
EVT823241,P019,S01,household,2026-06-08T15:56:05.011300,3,30,7,0.1,1,5,0,1
EVT426190,P010,S02,bakery,2026-06-08T15:56:05.514154,2,35,4,0.0571,0,1,1,1
EVT454876,P006,S03,beverages,2026-06-08T15:56:06.017971,59,60,5,0.9833,0,2,2,1
EVT337598,P020,S02,beverages,2026-06-08T15:56:06.526058,45,60,1,0.75,0,2,1,0
EVT466976,P010,S01,frozen,2026-06-08T15:56:07.029025,41,45,5,0.9111,0,4,0,0
EVT522923,P020,S01,beverages,2026-06-08T15:56:07.535975,37,60,5,0.6167,0,2,0,1
EVT331780,P005,S03,bakery,2026-06-08T15:56:08.040154,35,35,2,1.0,0,1,2,0
EVT883896,P014,S04,bakery,2026-06-08T15:56:08.542127,10,35,16,0.2857,0,1,3,1
EVT911766,P010,S03,beverages,2026-06-08T15:56:09.043807,11,60,12,0.1833,1,2,2,1
EVT223079,P008,S03,frozen,2026-06-08T15:56:09.550757,8,45,11,0.1778,0,4,2,1
EVT288112,P011,S02,household,2026-06-08T15:56:10.053309,0,30,11,0.0,0,5,1,1
EVT305798,P011,S04,frozen,2026-06-08T15:56:10.555166,10,45,2,0.2222,0,4,3,0
EVT133333,P006,S04,bakery,2026-06-08T15:56:11.062191,15,35,16,0.4286,0,1,3,0
EVT809284,P015,S03,dairy,2026-06-08T15:56:11.564771,2,40,7,0.05,1,0,2,0
EVT935318,P003,S02,frozen,2026-06-08T15:56:12.071587,0,45,14,0.0,0,4,1,1
EVT609285,P008,S01,beverages,2026-06-08T15:56:12.578120,23,60,9,0.3833,0,2,0,0
EVT176046,P011,S02,snacks,2026-06-08T15:56:13.080669,12,50,14,0.24,0,3,1,1
EVT200398,P007,S01,bakery,2026-06-08T15:56:13.584138,32,35,3,0.9143,0,1,0,0
EVT766896,P011,S01,beverages,2026-06-08T15:56:14.090384,2,60,12,0.0333,0,2,0,1
EVT586079,P015,S01,bakery,2026-06-08T15:56:14.594063,17,35,1,0.4857,0,1,0,1
EVT376969,P016,S01,dairy,2026-06-08T15:56:15.097505,6,40,5,0.15,0,0,0,1
EVT794305,P003,S02,household,2026-06-08T15:56:15.600755,1,30,17,0.0333,0,5,1,1
EVT870564,P002,S03,beverages,2026-06-08T15:56:16.101703,0,60,1,0.0,0,2,2,1
EVT327867,P013,S03,bakery,2026-06-08T15:56:16.604147,1,35,8,0.0286,1,1,2,1
EVT917628,P020,S01,beverages,2026-06-08T15:56:17.110017,11,60,8,0.1833,1,2,0,1
EVT829066,P020,S03,frozen,2026-06-08T15:56:17.616440,38,45,2,0.8444,0,4,2,0
EVT495403,P005,S02,bakery,2026-06-08T15:56:18.122265,30,35,4,0.8571,0,1,1,1
EVT574161,P013,S04,frozen,2026-06-08T15:56:18.623096,28,45,1,0.6222,0,4,3,0
EVT463251,P004,S03,bakery,2026-06-08T15:56:19.125355,5,35,15,0.1429,0,1,2,1
EVT937817,P020,S03,frozen,2026-06-08T15:56:19.630396,36,45,4,0.8,0,4,2,0
EVT445892,P013,S03,bakery,2026-06-08T15:56:20.133161,24,35,2,0.6857,0,1,2,0
EVT156957,P004,S02,snacks,2026-06-08T15:56:20.636870,0,50,5,0.0,0,3,1,1
EVT542373,P014,S03,household,2026-06-08T15:56:21.139280,1,30,5,0.0333,0,5,2,1
EVT967879,P004,S04,household,2026-06-08T15:56:21.640996,2,30,2,0.0667,0,5,3,1
EVT471624,P010,S03,snacks,2026-06-08T15:56:22.144918,2,50,17,0.04,0,3,2,1
EVT340985,P019,S03,dairy,2026-06-08T15:56:22.649653,32,40,4,0.8,0,0,2,0
EVT979157,P014,S02,household,2026-06-08T15:56:23.153088,20,30,4,0.6667,0,5,1,1
EVT890517,P017,S02,dairy,2026-06-08T15:56:23.655393,18,40,13,0.45,0,0,1,1
EVT722214,P007,S01,household,2026-06-08T15:56:24.157909,27,30,3,0.9,0,5,0,0
EVT722408,P011,S03,dairy,2026-06-08T15:56:24.660840,8,40,7,0.2,1,0,2,1
EVT611291,P014,S04,snacks,2026-06-08T15:56:25.161962,6,50,1,0.12,0,3,3,1
EVT747155,P013,S04,household,2026-06-08T15:56:25.666389,27,30,2,0.9,1,5,3,0
EVT773375,P002,S02,beverages,2026-06-08T15:56:26.168902,4,60,13,0.0667,0,2,1,1
EVT390193,P005,S01,dairy,2026-06-08T15:56:26.670984,18,40,0,0.45,0,0,0,0
EVT763073,P010,S02,snacks,2026-06-08T15:56:27.174432,23,50,2,0.46,0,3,1,0
EVT426611,P005,S02,household,2026-06-08T15:56:27.676869,8,30,4,0.2667,0,5,1,1
EVT788760,P009,S02,snacks,2026-06-08T15:56:28.178164,24,50,0,0.48,0,3,1,0
EVT532848,P015,S02,bakery,2026-06-08T15:56:28.682950,11,35,14,0.3143,0,1,1,1
EVT116394,P006,S04,bakery,2026-06-08T15:56:29.187443,12,35,10,0.3429,0,1,3,0
EVT744806,P018,S03,beverages,2026-06-08T15:56:29.690690,39,60,1,0.65,0,2,2,0
EVT765766,P018,S03,bakery,2026-06-08T15:56:30.197523,23,35,5,0.6571,0,1,2,0
EVT806381,P004,S04,household,2026-06-08T15:56:30.700168,14,30,2,0.4667,0,5,3,1
EVT224774,P007,S03,bakery,2026-06-08T15:56:31.203657,3,35,14,0.0857,0,1,2,1
EVT498284,P013,S03,dairy,2026-06-08T15:56:31.706647,7,40,14,0.175,0,0,2,1
EVT621941,P017,S04,snacks,2026-06-08T15:56:32.210587,45,50,3,0.9,1,3,3,0
EVT243064,P003,S01,snacks,2026-06-08T15:56:32.713552,0,50,10,0.0,0,3,0,1
EVT153667,P009,S04,bakery,2026-06-08T15:56:33.218925,14,35,8,0.4,0,1,3,1
EVT499719,P009,S03,beverages,2026-06-08T15:56:33.721999,6,60,15,0.1,0,2,2,1
EVT435949,P019,S03,household,2026-06-08T15:56:34.223114,17,30,2,0.5667,1,5,2,0
EVT160237,P012,S03,frozen,2026-06-08T15:56:34.725025,11,45,13,0.2444,0,4,2,1
EVT958722,P020,S04,dairy,2026-06-08T15:56:35.227191,13,40,10,0.325,0,0,3,1
EVT627575,P015,S02,dairy,2026-06-08T15:56:35.731034,35,40,6,0.875,0,0,1,1
EVT722562,P003,S01,snacks,2026-06-08T15:56:36.237080,31,50,5,0.62,0,3,0,0
EVT240153,P008,S01,beverages,2026-06-08T15:56:36.739966,9,60,7,0.15,1,2,0,0
EVT975332,P016,S02,snacks,2026-06-08T15:56:37.243267,42,50,2,0.84,0,3,1,1
EVT730276,P017,S03,snacks,2026-06-08T15:56:37.744431,43,50,5,0.86,0,3,2,0
EVT305218,P012,S02,dairy,2026-06-08T15:56:38.250411,8,40,16,0.2,0,0,1,1
EVT892447,P016,S03,bakery,2026-06-08T15:56:38.753998,3,35,10,0.0857,1,1,2,0
EVT901079,P014,S02,snacks,2026-06-08T15:56:39.257495,29,50,1,0.58,0,3,1,1
EVT759302,P014,S03,snacks,2026-06-08T15:56:39.761135,25,50,2,0.5,0,3,2,0
EVT397592,P014,S01,household,2026-06-08T15:56:40.261824,14,30,3,0.4667,0,5,0,0
EVT853360,P011,S02,frozen,2026-06-08T15:56:40.763187,23,45,6,0.5111,0,4,1,0
EVT938686,P019,S03,frozen,2026-06-08T15:56:41.266181,6,45,13,0.1333,0,4,2,1
EVT859903,P007,S03,dairy,2026-06-08T15:56:41.769849,16,40,16,0.4,0,0,2,0
EVT625409,P019,S03,snacks,2026-06-08T15:56:42.275857,4,50,17,0.08,0,3,2,1
EVT774327,P013,S03,dairy,2026-06-08T15:56:42.780020,21,40,0,0.525,0,0,2,1
EVT215284,P013,S01,beverages,2026-06-08T15:56:43.282135,9,60,10,0.15,1,2,0,1
EVT777166,P005,S03,bakery,2026-06-08T15:56:43.790006,11,35,8,0.3143,1,1,2,1
EVT870927,P013,S03,bakery,2026-06-08T15:56:44.295560,12,35,13,0.3429,1,1,2,0
EVT503145,P012,S02,beverages,2026-06-08T15:56:44.798980,2,60,4,0.0333,0,2,1,0
EVT722183,P014,S02,dairy,2026-06-08T15:56:45.305003,14,40,10,0.35,0,0,1,1
EVT400574,P009,S04,dairy,2026-06-08T15:56:45.810838,25,40,3,0.625,0,0,3,0
EVT798353,P005,S04,dairy,2026-06-08T15:56:46.314483,3,40,12,0.075,0,0,3,1
EVT201963,P018,S04,dairy,2026-06-08T15:56:46.818385,10,40,15,0.25,1,0,3,1
EVT368506,P004,S01,bakery,2026-06-08T15:56:47.321244,0,35,12,0.0,0,1,0,1
EVT335464,P010,S01,household,2026-06-08T15:56:47.825232,19,30,6,0.6333,0,5,0,0
EVT568199,P017,S02,bakery,2026-06-08T15:56:48.326848,24,35,4,0.6857,1,1,1,1
EVT753856,P007,S01,bakery,2026-06-08T15:56:48.831883,30,35,5,0.8571,0,1,0,1
EVT386478,P017,S01,bakery,2026-06-08T15:56:49.334124,5,35,12,0.1429,1,1,0,1
EVT454982,P016,S02,snacks,2026-06-08T15:56:49.839176,43,50,1,0.86,0,3,1,0
EVT837153,P014,S02,snacks,2026-06-08T15:56:50.340588,6,50,14,0.12,1,3,1,0
EVT567964,P020,S03,dairy,2026-06-08T15:56:50.844298,3,40,12,0.075,1,0,2,0
EVT511568,P016,S03,beverages,2026-06-08T15:56:51.345405,16,60,12,0.2667,0,2,2,0
EVT481953,P006,S02,frozen,2026-06-08T15:56:51.847289,23,45,0,0.5111,0,4,1,0
EVT166878,P003,S03,bakery,2026-06-08T15:56:52.348148,0,35,0,0.0,0,1,2,1
EVT411780,P011,S02,snacks,2026-06-08T15:56:52.852371,50,50,4,1.0,0,3,1,0
EVT656796,P016,S03,bakery,2026-06-08T15:56:53.356981,12,35,14,0.3429,0,1,2,0
EVT176902,P007,S04,dairy,2026-06-08T15:56:53.859834,10,40,4,0.25,0,0,3,0
EVT526014,P006,S02,beverages,2026-06-08T15:56:54.363408,33,60,5,0.55,0,2,1,1
EVT496651,P014,S03,bakery,2026-06-08T15:56:54.865748,0,35,11,0.0,0,1,2,1
EVT149054,P009,S01,dairy,2026-06-08T15:56:55.372370,28,40,5,0.7,0,0,0,0
EVT829603,P012,S03,household,2026-06-08T15:56:55.876127,19,30,2,0.6333,1,5,2,0
EVT384795,P020,S02,household,2026-06-08T15:56:56.378308,24,30,3,0.8,0,5,1,0
EVT453803,P011,S02,beverages,2026-06-08T15:56:56.879168,27,60,6,0.45,0,2,1,1
EVT164958,P005,S03,beverages,2026-06-08T15:56:57.381829,8,60,13,0.1333,1,2,2,1
EVT103980,P014,S04,household,2026-06-08T15:56:57.884613,18,30,3,0.6,0,5,3,0
EVT635548,P001,S01,bakery,2026-06-08T15:56:58.390195,27,35,5,0.7714,0,1,0,1
EVT476425,P020,S03,dairy,2026-06-08T15:56:58.894699,21,40,3,0.525,0,0,2,1
EVT474224,P001,S01,snacks,2026-06-08T15:56:59.396529,3,50,5,0.06,0,3,0,1
EVT757164,P010,S01,dairy,2026-06-08T15:56:59.897280,0,40,3,0.0,0,0,0,0
EVT407738,P005,S04,frozen,2026-06-08T15:57:00.402172,32,45,3,0.7111,0,4,3,1
EVT964726,P016,S03,bakery,2026-06-08T15:57:00.904650,0,35,9,0.0,1,1,2,1
EVT195326,P009,S01,frozen,2026-06-08T15:57:01.410911,1,45,16,0.0222,0,4,0,1
EVT527469,P004,S01,household,2026-06-08T15:57:01.916761,5,30,17,0.1667,0,5,0,0
EVT773591,P002,S01,dairy,2026-06-08T15:57:02.422359,9,40,8,0.225,1,0,0,1
EVT880965,P015,S02,bakery,2026-06-08T15:57:02.926153,26,35,2,0.7429,0,1,1,1
EVT380990,P003,S03,snacks,2026-06-08T15:57:03.428295,33,50,6,0.66,1,3,2,1
EVT803124,P009,S02,bakery,2026-06-08T15:57:03.932461,28,35,5,0.8,0,1,1,1
EVT943242,P010,S03,bakery,2026-06-08T15:57:04.434208,10,35,14,0.2857,1,1,2,1
EVT430068,P019,S03,dairy,2026-06-08T15:57:04.939442,32,40,3,0.8,0,0,2,0
EVT289455,P018,S01,bakery,2026-06-08T15:57:05.443998,1,35,12,0.0286,0,1,0,1
EVT818493,P009,S04,household,2026-06-08T15:57:05.948675,28,30,5,0.9333,0,5,3,0
EVT653503,P015,S01,snacks,2026-06-08T15:57:06.453918,25,50,4,0.5,0,3,0,0
EVT424633,P007,S02,bakery,2026-06-08T15:57:06.957958,32,35,2,0.9143,0,1,1,0
EVT280009,P002,S01,beverages,2026-06-08T15:57:07.460421,2,60,4,0.0333,0,2,0,1
EVT158040,P001,S04,dairy,2026-06-08T15:57:07.964554,14,40,16,0.35,0,0,3,0
EVT179620,P012,S01,bakery,2026-06-08T15:57:08.467600,18,35,2,0.5143,0,1,0,0
EVT891864,P003,S01,beverages,2026-06-08T15:57:08.968906,60,60,3,1.0,0,2,0,0
EVT631489,P016,S04,dairy,2026-06-08T15:57:09.470276,29,40,4,0.725,1,0,3,1
EVT239392,P012,S04,bakery,2026-06-08T15:57:09.975527,16,35,8,0.4571,1,1,3,1
EVT440096,P015,S03,dairy,2026-06-08T15:57:10.478397,6,40,2,0.15,0,0,2,0
EVT836747,P016,S01,snacks,2026-06-08T15:57:10.981531,3,50,4,0.06,0,3,0,1
EVT790170,P020,S01,bakery,2026-06-08T15:57:11.488887,15,35,6,0.4286,0,1,0,1
EVT655469,P012,S02,household,2026-06-08T15:57:11.994379,19,30,0,0.6333,0,5,1,0
EVT815941,P009,S02,beverages,2026-06-08T15:57:12.496121,21,60,13,0.35,0,2,1,1
EVT677753,P019,S04,dairy,2026-06-08T15:57:12.998622,35,40,4,0.875,1,0,3,0
EVT676909,P013,S01,frozen,2026-06-08T15:57:13.500948,8,45,10,0.1778,0,4,0,1
EVT745460,P006,S04,beverages,2026-06-08T15:57:14.003519,39,60,5,0.65,0,2,3,0
EVT218076,P013,S03,dairy,2026-06-08T15:57:14.508589,7,40,16,0.175,0,0,2,1
EVT228711,P009,S04,bakery,2026-06-08T15:57:15.010953,26,35,4,0.7429,0,1,3,0
EVT218623,P014,S03,household,2026-06-08T15:57:15.518872,8,30,11,0.2667,1,5,2,0
EVT481554,P017,S04,frozen,2026-06-08T15:57:16.021421,19,45,15,0.4222,0,4,3,1
EVT882100,P018,S02,beverages,2026-06-08T15:57:16.525447,16,60,16,0.2667,0,2,1,1
EVT326190,P006,S01,snacks,2026-06-08T15:57:17.030878,42,50,1,0.84,0,3,0,0
EVT543991,P014,S04,frozen,2026-06-08T15:57:17.532142,35,45,0,0.7778,0,4,3,0
EVT392237,P001,S04,snacks,2026-06-08T15:57:18.034294,42,50,2,0.84,0,3,3,0
EVT906253,P012,S02,snacks,2026-06-08T15:57:18.540381,1,50,10,0.02,1,3,1,0
EVT577980,P005,S02,snacks,2026-06-08T15:57:19.046198,0,50,10,0.0,0,3,1,1
EVT264521,P002,S04,household,2026-06-08T15:57:19.551405,4,30,16,0.1333,0,5,3,1
EVT944128,P005,S01,beverages,2026-06-08T15:57:20.056476,0,60,4,0.0,0,2,0,0
EVT294715,P002,S03,beverages,2026-06-08T15:57:20.560799,27,60,6,0.45,0,2,2,1
EVT356588,P016,S04,snacks,2026-06-08T15:57:21.067708,23,50,5,0.46,0,3,3,1
EVT534486,P012,S04,dairy,2026-06-08T15:57:21.569142,34,40,5,0.85,0,0,3,0
EVT904833,P009,S01,bakery,2026-06-08T15:57:22.076499,11,35,9,0.3143,1,1,0,0
EVT545420,P003,S02,household,2026-06-08T15:57:22.577550,15,30,4,0.5,1,5,1,1
EVT442983,P002,S04,beverages,2026-06-08T15:57:23.080441,57,60,6,0.95,1,2,3,0
EVT614921,P019,S01,beverages,2026-06-08T15:57:23.587314,20,60,9,0.3333,0,2,0,1
EVT661262,P006,S04,frozen,2026-06-08T15:57:24.090158,0,45,11,0.0,0,4,3,0
EVT896584,P003,S03,dairy,2026-06-08T15:57:24.597060,5,40,12,0.125,0,0,2,1
EVT751365,P016,S04,snacks,2026-06-08T15:57:25.099379,44,50,4,0.88,0,3,3,0
EVT976958,P006,S01,snacks,2026-06-08T15:57:25.601304,11,50,12,0.22,0,3,0,1
EVT923078,P020,S01,frozen,2026-06-08T15:57:26.106029,41,45,2,0.9111,0,4,0,0
EVT148212,P014,S01,bakery,2026-06-08T15:57:26.611865,16,35,4,0.4571,0,1,0,0
EVT448620,P003,S03,dairy,2026-06-08T15:57:27.117308,1,40,13,0.025,0,0,2,1
EVT650099,P013,S04,bakery,2026-06-08T15:57:27.622221,12,35,13,0.3429,0,1,3,1
EVT939432,P004,S01,dairy,2026-06-08T15:57:28.126725,25,40,3,0.625,0,0,0,1
EVT932930,P013,S04,beverages,2026-06-08T15:57:28.633471,50,60,2,0.8333,1,2,3,0
EVT194361,P016,S03,beverages,2026-06-08T15:57:29.141428,6,60,0,0.1,0,2,2,0
EVT622578,P017,S04,beverages,2026-06-08T15:57:29.644159,10,60,1,0.1667,0,2,3,0
EVT238845,P016,S03,dairy,2026-06-08T15:57:30.152367,10,40,9,0.25,0,0,2,1
EVT363118,P017,S02,bakery,2026-06-08T15:57:30.660323,1,35,7,0.0286,1,1,1,1
EVT180959,P008,S03,bakery,2026-06-08T15:57:31.164590,6,35,7,0.1714,1,1,2,0
EVT942754,P004,S01,snacks,2026-06-08T15:57:31.666927,44,50,0,0.88,0,3,0,1
EVT833698,P007,S04,beverages,2026-06-08T15:57:32.170692,2,60,15,0.0333,1,2,3,0
EVT773720,P014,S03,bakery,2026-06-08T15:57:32.675083,29,35,2,0.8286,0,1,2,1
EVT805120,P007,S02,bakery,2026-06-08T15:57:33.177699,3,35,10,0.0857,0,1,1,1
EVT252193,P015,S01,household,2026-06-08T15:57:33.684369,11,30,13,0.3667,0,5,0,0
EVT942043,P010,S02,household,2026-06-08T15:57:34.190576,18,30,6,0.6,0,5,1,1
EVT727334,P007,S01,beverages,2026-06-08T15:57:34.694152,50,60,0,0.8333,0,2,0,0
EVT341074,P013,S02,bakery,2026-06-08T15:57:35.196668,28,35,2,0.8,0,1,1,1
EVT747288,P017,S02,household,2026-06-08T15:57:35.700205,8,30,14,0.2667,0,5,1,1
EVT703552,P002,S01,beverages,2026-06-08T15:57:36.203322,27,60,1,0.45,1,2,0,1
EVT820862,P017,S02,bakery,2026-06-08T15:57:36.707239,0,35,12,0.0,0,1,1,1
EVT409062,P019,S03,dairy,2026-06-08T15:57:37.213453,18,40,14,0.45,0,0,2,1
EVT444431,P004,S01,household,2026-06-08T15:57:37.717329,11,30,14,0.3667,0,5,0,1
EVT812879,P020,S03,dairy,2026-06-08T15:57:38.225196,27,40,3,0.675,0,0,2,0
EVT754356,P006,S04,dairy,2026-06-08T15:57:38.727237,22,40,5,0.55,1,0,3,0
