event_id,product_id,store_id,category,current_stock,shelf_capacity,sales_last_10min,replenishment_pending,timestamp,stockout_risk,label_probability
EVT619093,P014,S03,frozen,10,45,12,0,2026-06-08T15:52:01.226258,1,0.7833
EVT121822,P011,S02,household,20,30,1,0,2026-06-08T15:52:01.226261,1,0.3694
EVT991595,P014,S02,frozen,23,45,3,0,2026-06-08T15:52:01.226263,0,0.4783
EVT388576,P001,S02,dairy,12,40,8,0,2026-06-08T15:52:01.226266,1,0.6706
EVT274037,P003,S03,dairy,12,40,14,0,2026-06-08T15:52:01.226269,1,0.7872
EVT430149,P014,S02,frozen,3,45,12,0,2026-06-08T15:52:01.226271,1,0.8533
EVT667674,P003,S04,beverages,2,60,15,0,2026-06-08T15:52:01.226274,1,0.9267
EVT191085,P011,S01,dairy,10,40,8,1,2026-06-08T15:52:01.226277,0,0.4931
EVT766013,P005,S03,bakery,34,35,2,0,2026-06-08T15:52:01.226279,0,0.2517
EVT210011,P004,S01,household,3,30,12,0,2026-06-08T15:52:01.226282,1,0.8383
EVT510853,P009,S03,beverages,1,60,15,0,2026-06-08T15:52:01.226285,1,0.9342
EVT217643,P005,S02,dairy,19,40,4,0,2026-06-08T15:52:01.226288,1,0.514
EVT140364,P005,S02,beverages,45,60,6,0,2026-06-08T15:52:01.226290,1,0.4292
EVT568071,P004,S02,bakery,13,35,7,0,2026-06-08T15:52:01.226293,1,0.619
EVT719950,P010,S02,dairy,2,40,11,1,2026-06-08T15:52:01.226295,0,0.6414
EVT905583,P011,S04,household,2,30,15,0,2026-06-08T15:52:01.226298,1,0.9117
EVT352532,P018,S02,beverages,25,60,9,0,2026-06-08T15:52:01.226301,1,0.6375
EVT298795,P010,S03,household,2,30,12,1,2026-06-08T15:52:01.226303,1,0.6533
EVT917521,P007,S04,dairy,36,40,3,0,2026-06-08T15:52:01.226306,1,0.3033
EVT710137,P009,S03,beverages,3,60,17,0,2026-06-08T15:52:01.226308,1,0.95
EVT932628,P020,S03,household,1,30,10,1,2026-06-08T15:52:01.226311,1,0.6294
EVT146897,P010,S04,dairy,17,40,7,1,2026-06-08T15:52:01.226313,0,0.3949
EVT191497,P012,S02,frozen,27,45,1,0,2026-06-08T15:52:01.226316,0,0.3994
EVT752153,P002,S01,bakery,35,35,4,0,2026-06-08T15:52:01.226319,0,0.2778
EVT748286,P018,S01,household,11,30,7,1,2026-06-08T15:52:01.226321,0,0.4211
EVT389523,P011,S03,beverages,10,60,7,0,2026-06-08T15:52:01.226324,1,0.7111
EVT806959,P006,S04,frozen,0,45,2,0,2026-06-08T15:52:01.226326,1,0.6889
EVT358276,P007,S03,bakery,20,35,6,0,2026-06-08T15:52:01.226329,1,0.5095
EVT889664,P003,S02,dairy,17,40,15,0,2026-06-08T15:52:01.226332,1,0.7504
EVT121650,P018,S04,beverages,2,60,6,1,2026-06-08T15:52:01.226334,1,0.5517
EVT485585,P004,S04,dairy,36,40,1,0,2026-06-08T15:52:01.226337,1,0.2644
EVT356869,P010,S03,frozen,40,45,6,0,2026-06-08T15:52:01.226339,0,0.3667
EVT567695,P010,S01,snacks,12,50,6,1,2026-06-08T15:52:01.226342,1,0.4587
EVT531761,P008,S01,beverages,4,60,11,0,2026-06-08T15:52:01.226344,1,0.8339
EVT665889,P011,S01,dairy,37,40,3,0,2026-06-08T15:52:01.226347,0,0.2921
EVT546212,P017,S01,household,2,30,10,0,2026-06-08T15:52:01.226349,1,0.8144
EVT928025,P019,S01,bakery,14,35,8,0,2026-06-08T15:52:01.226352,1,0.6256
EVT770715,P013,S04,snacks,30,50,0,0,2026-06-08T15:52:01.226355,0,0.38
EVT566204,P010,S03,dairy,18,40,8,0,2026-06-08T15:52:01.226357,1,0.6031
EVT768799,P016,S03,frozen,33,45,4,0,2026-06-08T15:52:01.226360,1,0.3978
EVT625473,P002,S04,snacks,3,50,15,0,2026-06-08T15:52:01.226362,1,0.9147
EVT268229,P019,S02,dairy,6,40,5,0,2026-06-08T15:52:01.226365,0,0.6797
EVT678591,P002,S04,snacks,23,50,5,0,2026-06-08T15:52:01.226368,0,0.5402
EVT562809,P018,S03,beverages,60,60,2,0,2026-06-08T15:52:01.226370,0,0.2389
EVT616189,P005,S04,frozen,36,45,1,0,2026-06-08T15:52:01.226373,1,0.3094
EVT882848,P009,S01,bakery,7,35,11,0,2026-06-08T15:52:01.226375,0,0.7739
EVT329955,P006,S01,dairy,23,40,3,0,2026-06-08T15:52:01.226378,0,0.4496
EVT869823,P006,S03,bakery,32,35,1,0,2026-06-08T15:52:01.226380,0,0.258
EVT352727,P008,S02,bakery,3,35,5,0,2026-06-08T15:52:01.226383,1,0.7087
EVT989226,P015,S02,dairy,39,40,2,0,2026-06-08T15:52:01.226385,0,0.2501
EVT864352,P006,S01,bakery,28,35,0,0,2026-06-08T15:52:01.226388,1,0.29
EVT758402,P007,S03,household,6,30,17,0,2026-06-08T15:52:01.226391,0,0.8906
EVT720341,P011,S04,bakery,8,35,16,0,2026-06-08T15:52:01.226393,1,0.8583
EVT477991,P007,S03,household,30,30,0,0,2026-06-08T15:52:01.226396,0,0.2
EVT667641,P009,S03,bakery,16,35,4,0,2026-06-08T15:52:01.226398,1,0.5221
EVT107127,P017,S01,beverages,14,60,8,0,2026-06-08T15:52:01.226401,1,0.7006
EVT667017,P013,S02,household,16,30,7,0,2026-06-08T15:52:01.226403,1,0.5461
EVT392300,P013,S01,beverages,53,60,3,0,2026-06-08T15:52:01.226406,0,0.3108
EVT252870,P011,S04,frozen,17,45,9,0,2026-06-08T15:52:01.226408,0,0.655
EVT482833,P018,S04,dairy,1,40,5,0,2026-06-08T15:52:01.226411,1,0.736
EVT300657,P016,S03,household,23,30,5,0,2026-06-08T15:52:01.226414,0,0.4022
EVT394353,P007,S04,bakery,18,35,0,0,2026-06-08T15:52:01.226416,0,0.4186
EVT900702,P004,S03,beverages,12,60,9,1,2026-06-08T15:52:01.226419,0,0.535
EVT894148,P014,S03,bakery,3,35,3,0,2026-06-08T15:52:01.226421,1,0.6698
EVT378194,P017,S03,bakery,14,35,9,0,2026-06-08T15:52:01.226429,1,0.645
EVT457602,P019,S04,beverages,4,60,13,0,2026-06-08T15:52:01.226432,1,0.8728
EVT123961,P010,S04,frozen,1,45,16,0,2026-06-08T15:52:01.226434,1,0.95
EVT573852,P008,S04,household,11,30,16,0,2026-06-08T15:52:01.226437,1,0.7961
EVT687109,P013,S03,bakery,12,35,11,0,2026-06-08T15:52:01.226439,1,0.7096
EVT767536,P008,S01,household,28,30,2,0,2026-06-08T15:52:01.226441,1,0.2689
EVT456156,P001,S03,beverages,31,60,1,0,2026-06-08T15:52:01.226444,1,0.4369
EVT328850,P010,S02,household,16,30,3,0,2026-06-08T15:52:01.226446,0,0.4683
EVT763397,P007,S02,beverages,2,60,10,0,2026-06-08T15:52:01.226449,1,0.8294
EVT152735,P006,S02,snacks,3,50,18,0,2026-06-08T15:52:01.226451,1,0.95
EVT479312,P014,S03,household,15,30,6,0,2026-06-08T15:52:01.226454,0,0.5417
EVT763543,P005,S03,snacks,20,50,15,0,2026-06-08T15:52:01.226457,1,0.7617
EVT779376,P007,S04,household,13,30,11,0,2026-06-08T15:52:01.226459,1,0.6689
EVT471562,P003,S02,dairy,6,40,11,0,2026-06-08T15:52:01.226461,1,0.7964
EVT111474,P015,S02,dairy,5,40,3,0,2026-06-08T15:52:01.226464,0,0.6521
EVT724679,P019,S04,snacks,1,50,7,1,2026-06-08T15:52:01.226466,1,0.5771
EVT952150,P005,S04,frozen,21,45,3,1,2026-06-08T15:52:01.226469,0,0.2983
EVT486027,P016,S04,snacks,16,50,11,0,2026-06-08T15:52:01.226471,1,0.7199
EVT489724,P020,S02,beverages,1,60,16,0,2026-06-08T15:52:01.226473,1,0.95
EVT703141,P020,S03,beverages,3,60,4,0,2026-06-08T15:52:01.226476,1,0.7053
EVT563409,P007,S01,bakery,24,35,4,0,2026-06-08T15:52:01.226478,0,0.4192
EVT264870,P008,S02,beverages,9,60,6,1,2026-06-08T15:52:01.226481,0,0.4992
EVT981767,P010,S02,household,5,30,6,1,2026-06-08T15:52:01.226483,1,0.4917
EVT160656,P014,S03,bakery,7,35,2,0,2026-06-08T15:52:01.226486,1,0.5989
EVT270762,P014,S04,frozen,1,45,5,0,2026-06-08T15:52:01.226488,1,0.7372
EVT903937,P014,S04,snacks,35,50,4,0,2026-06-08T15:52:01.226490,0,0.4128
EVT163009,P015,S02,bakery,14,35,14,0,2026-06-08T15:52:01.226493,1,0.7422
EVT267889,P014,S01,dairy,3,40,10,1,2026-06-08T15:52:01.226495,1,0.6107
EVT139519,P015,S02,beverages,26,60,14,0,2026-06-08T15:52:01.226497,0,0.7272
EVT613135,P013,S02,snacks,10,50,5,0,2026-06-08T15:52:01.226500,0,0.6572
EVT554163,P010,S02,bakery,35,35,2,0,2026-06-08T15:52:01.226502,1,0.2389
EVT982598,P011,S03,beverages,25,60,13,0,2026-06-08T15:52:01.226504,1,0.7153
EVT949289,P016,S03,frozen,43,45,3,0,2026-06-08T15:52:01.226507,1,0.2783
EVT900391,P013,S01,household,4,30,10,0,2026-06-08T15:52:01.226509,1,0.7844
EVT214640,P004,S04,beverages,7,60,12,0,2026-06-08T15:52:01.226511,1,0.8308
EVT498757,P019,S03,snacks,32,50,4,0,2026-06-08T15:52:01.226514,0,0.4398
EVT111772,P020,S02,snacks,8,50,9,0,2026-06-08T15:52:01.226516,1,0.753
EVT463620,P017,S02,dairy,10,40,6,1,2026-06-08T15:52:01.226518,0,0.4542
EVT982309,P016,S01,household,11,30,16,0,2026-06-08T15:52:01.226521,1,0.7961
EVT249515,P018,S04,dairy,8,40,12,0,2026-06-08T15:52:01.226524,0,0.7933
EVT706968,P004,S03,beverages,5,60,10,0,2026-06-08T15:52:01.226526,1,0.8069
EVT337050,P004,S03,beverages,53,60,6,0,2026-06-08T15:52:01.226539,1,0.3692
EVT658369,P019,S01,bakery,9,35,15,0,2026-06-08T15:52:01.226541,1,0.826
EVT808124,P012,S01,dairy,2,40,2,0,2026-06-08T15:52:01.226544,1,0.6664
EVT220588,P006,S03,frozen,43,45,5,0,2026-06-08T15:52:01.226546,0,0.3172
EVT677824,P015,S03,frozen,33,45,6,0,2026-06-08T15:52:01.226548,0,0.4367
EVT613330,P005,S04,dairy,3,40,17,0,2026-06-08T15:52:01.226551,1,0.9468
EVT977299,P015,S04,household,17,30,0,0,2026-06-08T15:52:01.226553,0,0.395
EVT584835,P002,S02,snacks,2,50,1,0,2026-06-08T15:52:01.226556,1,0.6514
EVT261746,P020,S04,frozen,12,45,9,0,2026-06-08T15:52:01.226558,1,0.705
EVT846086,P016,S03,dairy,5,40,16,0,2026-06-08T15:52:01.226561,1,0.9049
EVT336326,P005,S01,bakery,21,35,5,0,2026-06-08T15:52:01.226563,0,0.4772
EVT877037,P012,S02,beverages,2,60,4,0,2026-06-08T15:52:01.226565,1,0.7128
EVT763083,P001,S01,bakery,15,35,15,0,2026-06-08T15:52:01.226568,1,0.7488
EVT521432,P005,S03,bakery,1,35,11,1,2026-06-08T15:52:01.226570,1,0.651
EVT188650,P012,S04,frozen,4,45,10,0,2026-06-08T15:52:01.226572,0,0.8044
EVT888654,P008,S03,bakery,13,35,6,1,2026-06-08T15:52:01.226575,0,0.3995
EVT884777,P009,S04,bakery,13,35,11,0,2026-06-08T15:52:01.226577,0,0.6967
EVT592841,P012,S04,snacks,4,50,3,0,2026-06-08T15:52:01.226580,0,0.6723
EVT975275,P020,S04,household,1,30,16,0,2026-06-08T15:52:01.226583,1,0.9461
EVT246827,P015,S01,bakery,8,35,12,0,2026-06-08T15:52:01.226585,1,0.7805
EVT684690,P016,S04,frozen,27,45,5,0,2026-06-08T15:52:01.226587,1,0.4772
EVT568535,P007,S03,snacks,12,50,14,0,2026-06-08T15:52:01.226590,1,0.8142
EVT706112,P015,S04,beverages,24,60,10,0,2026-06-08T15:52:01.226592,1,0.6644
EVT781136,P006,S03,frozen,1,45,15,0,2026-06-08T15:52:01.226595,1,0.9317
EVT872929,P018,S03,household,10,30,12,1,2026-06-08T15:52:01.226597,1,0.5333
EVT722062,P017,S01,bakery,25,35,6,0,2026-06-08T15:52:01.226600,0,0.4452
EVT585008,P012,S02,beverages,58,60,3,0,2026-06-08T15:52:01.226602,1,0.2733
EVT289173,P015,S01,beverages,18,60,6,1,2026-06-08T15:52:01.226604,0,0.4317
EVT731563,P010,S02,snacks,2,50,10,1,2026-06-08T15:52:01.226607,1,0.6264
EVT964927,P001,S03,bakery,13,35,15,0,2026-06-08T15:52:01.226609,1,0.7745
EVT549859,P003,S01,household,10,30,8,0,2026-06-08T15:52:01.226612,0,0.6556
EVT526626,P018,S04,dairy,22,40,5,0,2026-06-08T15:52:01.226614,1,0.4997
EVT716621,P010,S04,household,1,30,4,0,2026-06-08T15:52:01.226617,1,0.7128
EVT169800,P016,S01,beverages,37,60,3,0,2026-06-08T15:52:01.226619,0,0.4308
EVT641587,P016,S02,snacks,47,50,6,0,2026-06-08T15:52:01.226622,0,0.3437
EVT458211,P013,S02,frozen,31,45,3,0,2026-06-08T15:52:01.226624,1,0.3983
EVT362248,P002,S01,beverages,52,60,5,0,2026-06-08T15:52:01.226626,1,0.3572
EVT170645,P010,S03,bakery,10,35,2,0,2026-06-08T15:52:01.226629,0,0.5603
EVT694009,P009,S02,snacks,19,50,14,0,2026-06-08T15:52:01.226632,0,0.7512
EVT874324,P012,S04,beverages,5,60,14,0,2026-06-08T15:52:01.226634,1,0.8847
EVT590756,P001,S02,frozen,44,45,3,0,2026-06-08T15:52:01.226636,1,0.2683
EVT741188,P019,S04,dairy,3,40,14,0,2026-06-08T15:52:01.226639,1,0.8885
EVT541028,P012,S02,frozen,3,45,13,0,2026-06-08T15:52:01.226641,1,0.8728
EVT310938,P017,S01,snacks,8,50,4,0,2026-06-08T15:52:01.226643,1,0.6558
EVT413634,P006,S04,frozen,44,45,3,0,2026-06-08T15:52:01.226646,0,0.2683
EVT591212,P006,S03,household,2,30,3,0,2026-06-08T15:52:01.226648,1,0.6783
EVT978598,P019,S04,dairy,31,40,5,0,2026-06-08T15:52:01.226651,0,0.3985
EVT318422,P011,S03,frozen,30,45,1,0,2026-06-08T15:52:01.226653,0,0.3694
EVT386999,P013,S01,dairy,31,40,3,0,2026-06-08T15:52:01.226655,0,0.3596
EVT573205,P007,S01,beverages,4,60,6,1,2026-06-08T15:52:01.226658,1,0.5367
EVT167050,P015,S04,beverages,10,60,13,1,2026-06-08T15:52:01.226660,0,0.6278
EVT476017,P013,S02,snacks,6,50,17,0,2026-06-08T15:52:01.226662,1,0.9266
EVT535454,P020,S01,bakery,21,35,5,0,2026-06-08T15:52:01.226665,0,0.4772
EVT177122,P009,S03,dairy,3,40,13,0,2026-06-08T15:52:01.226667,1,0.869
EVT511784,P011,S04,beverages,8,60,2,0,2026-06-08T15:52:01.226669,1,0.6289
EVT724038,P020,S03,snacks,2,50,15,0,2026-06-08T15:52:01.226672,0,0.9237
EVT684252,P002,S01,snacks,33,50,1,0,2026-06-08T15:52:01.226674,0,0.3724
EVT551119,P006,S01,dairy,18,40,16,0,2026-06-08T15:52:01.226679,1,0.7586
EVT586692,P003,S02,household,6,30,9,1,2026-06-08T15:52:01.226682,1,0.535
EVT952939,P020,S01,frozen,28,45,3,0,2026-06-08T15:52:01.226684,0,0.4283
EVT927624,P019,S01,snacks,37,50,5,1,2026-06-08T15:52:01.226687,0,0.2142
EVT520163,P002,S01,snacks,29,50,3,0,2026-06-08T15:52:01.226689,1,0.4473
EVT976827,P013,S01,snacks,10,50,10,0,2026-06-08T15:52:01.226692,0,0.7544
EVT102013,P019,S03,beverages,16,60,10,0,2026-06-08T15:52:01.226694,1,0.7244
EVT417551,P003,S01,dairy,35,40,0,0,2026-06-08T15:52:01.226696,0,0.2563
EVT808860,P006,S01,bakery,28,35,5,1,2026-06-08T15:52:01.226699,0,0.1872
EVT719562,P010,S03,beverages,21,60,10,0,2026-06-08T15:52:01.226701,1,0.6869
EVT853128,P006,S01,snacks,22,50,8,0,2026-06-08T15:52:01.226704,1,0.6076
EVT967557,P009,S04,snacks,38,50,2,0,2026-06-08T15:52:01.226706,0,0.3469
EVT682204,P019,S03,household,22,30,0,0,2026-06-08T15:52:01.226709,0,0.32
EVT436044,P004,S03,bakery,28,35,2,0,2026-06-08T15:52:01.226711,0,0.3289
EVT946866,P015,S01,frozen,43,45,5,0,2026-06-08T15:52:01.226714,0,0.3172
EVT254162,P009,S02,snacks,49,50,5,0,2026-06-08T15:52:01.226717,0,0.3062
EVT898000,P005,S04,snacks,8,50,12,0,2026-06-08T15:52:01.226719,1,0.8113
EVT128496,P005,S02,snacks,22,50,3,1,2026-06-08T15:52:01.226721,0,0.3103
EVT381682,P011,S01,snacks,46,50,0,0,2026-06-08T15:52:01.226724,1,0.236
EVT192942,P007,S01,bakery,1,35,14,1,2026-06-08T15:52:01.226726,1,0.7094
EVT963874,P007,S03,bakery,11,35,11,1,2026-06-08T15:52:01.226729,0,0.5225
EVT967197,P017,S01,beverages,0,60,13,0,2026-06-08T15:52:01.226731,1,0.9028
EVT248039,P017,S04,beverages,42,60,3,1,2026-06-08T15:52:01.226734,0,0.1933
EVT426857,P014,S04,snacks,22,50,4,0,2026-06-08T15:52:01.226736,0,0.5298
EVT800964,P007,S01,snacks,4,50,11,1,2026-06-08T15:52:01.226738,1,0.6279
EVT436615,P010,S04,frozen,16,45,14,0,2026-06-08T15:52:01.226741,0,0.7622
EVT717113,P003,S02,bakery,17,35,8,0,2026-06-08T15:52:01.226743,0,0.587
EVT941998,P016,S01,beverages,54,60,6,0,2026-06-08T15:52:01.226746,0,0.3617
EVT600662,P001,S03,household,22,30,3,0,2026-06-08T15:52:01.226748,1,0.3783
EVT623013,P005,S02,bakery,6,35,18,0,2026-06-08T15:52:01.226750,1,0.9229
EVT251661,P016,S01,frozen,10,45,2,0,2026-06-08T15:52:01.226753,0,0.5889
EVT679405,P019,S03,beverages,17,60,12,0,2026-06-08T15:52:01.226755,0,0.7558
EVT718901,P014,S03,bakery,24,35,4,0,2026-06-08T15:52:01.226757,0,0.4192
EVT994417,P006,S01,dairy,37,40,1,0,2026-06-08T15:52:01.226760,1,0.2532
EVT146512,P013,S01,frozen,18,45,13,0,2026-06-08T15:52:01.226762,1,0.7228
EVT467926,P011,S03,dairy,28,40,1,0,2026-06-08T15:52:01.226765,0,0.3544
EVT447841,P010,S04,bakery,9,35,8,0,2026-06-08T15:52:01.226767,0,0.6898
EVT684417,P006,S03,bakery,8,35,13,0,2026-06-08T15:52:01.226770,1,0.7999
EVT372346,P014,S03,snacks,49,50,0,0,2026-06-08T15:52:01.226772,1,0.209
EVT518704,P005,S01,snacks,30,50,1,0,2026-06-08T15:52:01.226778,0,0.3994
EVT957183,P015,S01,dairy,37,40,2,0,2026-06-08T15:52:01.226781,1,0.2726
EVT170525,P016,S02,frozen,6,45,5,0,2026-06-08T15:52:01.226783,0,0.6872
EVT393489,P013,S01,household,21,30,3,0,2026-06-08T15:52:01.226786,1,0.3933
EVT595297,P019,S02,beverages,31,60,0,0,2026-06-08T15:52:01.226802,1,0.4175
EVT933323,P001,S02,bakery,17,35,5,1,2026-06-08T15:52:01.226806,0,0.3287
EVT411826,P001,S04,frozen,4,45,13,0,2026-06-08T15:52:01.226809,1,0.8628
EVT877244,P010,S04,snacks,42,50,4,1,2026-06-08T15:52:01.226812,0,0.1498
EVT765486,P002,S04,frozen,4,45,1,0,2026-06-08T15:52:01.226816,1,0.6294
EVT630498,P007,S01,snacks,6,50,4,0,2026-06-08T15:52:01.226819,1,0.6738
EVT659883,P010,S01,household,8,30,11,0,2026-06-08T15:52:01.226823,1,0.7439
EVT711434,P004,S02,frozen,13,45,11,0,2026-06-08T15:52:01.226827,1,0.7339
EVT188133,P017,S03,beverages,21,60,15,0,2026-06-08T15:52:01.226830,1,0.7842
EVT429516,P002,S04,snacks,34,50,0,0,2026-06-08T15:52:01.226833,1,0.344
EVT686670,P005,S04,bakery,10,35,0,0,2026-06-08T15:52:01.226836,0,0.5214
EVT267112,P009,S02,beverages,7,60,5,0,2026-06-08T15:52:01.226838,1,0.6947
EVT648075,P017,S01,frozen,6,45,10,0,2026-06-08T15:52:01.226841,1,0.7844
EVT138596,P001,S03,dairy,19,40,2,0,2026-06-08T15:52:01.226844,1,0.4751
EVT990810,P014,S04,snacks,4,50,3,0,2026-06-08T15:52:01.226846,1,0.6723
EVT197910,P003,S02,beverages,4,60,13,0,2026-06-08T15:52:01.226849,0,0.8728
EVT379781,P020,S03,dairy,6,40,4,0,2026-06-08T15:52:01.226852,0,0.6603
EVT645882,P006,S02,snacks,27,50,6,0,2026-06-08T15:52:01.226854,1,0.5237
EVT689671,P005,S03,beverages,12,60,9,1,2026-06-08T15:52:01.226857,1,0.535
EVT403151,P003,S01,snacks,3,50,9,1,2026-06-08T15:52:01.226859,1,0.598
EVT241648,P014,S03,bakery,33,35,2,0,2026-06-08T15:52:01.226862,1,0.2646
EVT649248,P002,S01,beverages,5,60,8,1,2026-06-08T15:52:01.226865,0,0.5681
EVT836021,P002,S03,bakery,11,35,9,0,2026-06-08T15:52:01.226868,1,0.6836
EVT864739,P019,S04,beverages,13,60,16,0,2026-06-08T15:52:01.226870,1,0.8636
EVT272214,P002,S02,bakery,4,35,15,1,2026-06-08T15:52:01.226873,1,0.6902
EVT607558,P020,S04,household,2,30,0,0,2026-06-08T15:52:01.226875,1,0.62
EVT626391,P009,S01,beverages,3,60,15,0,2026-06-08T15:52:01.226878,1,0.9192
EVT360296,P004,S02,dairy,13,40,11,1,2026-06-08T15:52:01.226881,0,0.5176
EVT449980,P005,S04,frozen,28,45,4,1,2026-06-08T15:52:01.226889,1,0.2478
EVT638110,P005,S04,bakery,28,35,5,0,2026-06-08T15:52:01.226892,0,0.3872
EVT420058,P016,S03,household,3,30,10,1,2026-06-08T15:52:01.226895,1,0.5994
EVT100048,P002,S01,bakery,14,35,13,0,2026-06-08T15:52:01.226898,0,0.7228
EVT585335,P007,S04,bakery,20,35,2,0,2026-06-08T15:52:01.226900,0,0.4317
EVT540796,P007,S04,household,25,30,5,0,2026-06-08T15:52:01.226903,0,0.3722
