event_id,product_id,store_id,category,current_stock,shelf_capacity,sales_last_10min,replenishment_pending,timestamp
EVT413374,P008,S01,dairy,2,40,6,1,2026-06-08T15:52:01.226191
EVT878880,P006,S01,frozen,8,45,5,0,2026-06-08T15:52:01.226194
EVT917214,P011,S01,snacks,48,50,4,0,2026-06-08T15:52:01.226196
EVT531902,P019,S04,dairy,9,40,5,0,2026-06-08T15:52:01.226199
EVT365686,P008,S02,snacks,22,50,12,0,2026-06-08T15:52:01.226202
EVT585978,P013,S03,bakery,27,35,3,0,2026-06-08T15:52:01.226204
EVT610304,P013,S04,household,24,30,6,0,2026-06-08T15:52:01.226207
EVT250508,P018,S03,dairy,8,40,17,0,2026-06-08T15:52:01.226209
EVT781977,P001,S02,frozen,14,45,15,0,2026-06-08T15:52:01.226213
EVT400722,P012,S04,dairy,10,40,13,1,2026-06-08T15:52:01.226215
EVT247262,P016,S03,household,11,30,14,1,2026-06-08T15:52:01.226218
EVT494795,P002,S01,snacks,50,50,3,0,2026-06-08T15:52:01.226220
EVT579615,P004,S01,household,12,30,9,1,2026-06-08T15:52:01.226223
EVT457174,P015,S02,dairy,24,40,0,0,2026-06-08T15:52:01.226225
EVT835380,P016,S01,beverages,22,60,10,0,2026-06-08T15:52:01.226228
EVT702584,P004,S04,dairy,17,40,7,1,2026-06-08T15:52:01.226231
EVT559158,P010,S02,beverages,16,60,16,0,2026-06-08T15:52:01.226234
EVT508050,P001,S02,bakery,31,35,6,0,2026-06-08T15:52:01.226237
EVT956347,P004,S04,snacks,4,50,3,0,2026-06-08T15:52:01.226239
EVT157980,P001,S02,dairy,20,40,0,1,2026-06-08T15:52:01.226242
EVT761270,P002,S04,snacks,15,50,13,0,2026-06-08T15:52:01.226245
EVT660573,P017,S02,household,18,30,1,0,2026-06-08T15:52:01.226248
EVT348889,P007,S04,dairy,20,40,1,0,2026-06-08T15:52:01.226251
EVT241639,P008,S03,dairy,8,40,1,0,2026-06-08T15:52:01.226253
EVT100467,P010,S03,beverages,2,60,6,1,2026-06-08T15:52:01.226256
EVT619093,P014,S03,frozen,10,45,12,0,2026-06-08T15:52:01.226258
EVT121822,P011,S02,household,20,30,1,0,2026-06-08T15:52:01.226261
EVT991595,P014,S02,frozen,23,45,3,0,2026-06-08T15:52:01.226263
EVT388576,P001,S02,dairy,12,40,8,0,2026-06-08T15:52:01.226266
EVT274037,P003,S03,dairy,12,40,14,0,2026-06-08T15:52:01.226269
EVT430149,P014,S02,frozen,3,45,12,0,2026-06-08T15:52:01.226271
EVT667674,P003,S04,beverages,2,60,15,0,2026-06-08T15:52:01.226274
EVT191085,P011,S01,dairy,10,40,8,1,2026-06-08T15:52:01.226277
EVT766013,P005,S03,bakery,34,35,2,0,2026-06-08T15:52:01.226279
EVT210011,P004,S01,household,3,30,12,0,2026-06-08T15:52:01.226282
EVT510853,P009,S03,beverages,1,60,15,0,2026-06-08T15:52:01.226285
EVT217643,P005,S02,dairy,19,40,4,0,2026-06-08T15:52:01.226288
EVT140364,P005,S02,beverages,45,60,6,0,2026-06-08T15:52:01.226290
EVT568071,P004,S02,bakery,13,35,7,0,2026-06-08T15:52:01.226293
EVT719950,P010,S02,dairy,2,40,11,1,2026-06-08T15:52:01.226295
EVT905583,P011,S04,household,2,30,15,0,2026-06-08T15:52:01.226298
EVT352532,P018,S02,beverages,25,60,9,0,2026-06-08T15:52:01.226301
EVT298795,P010,S03,household,2,30,12,1,2026-06-08T15:52:01.226303
EVT917521,P007,S04,dairy,36,40,3,0,2026-06-08T15:52:01.226306
EVT710137,P009,S03,beverages,3,60,17,0,2026-06-08T15:52:01.226308
EVT932628,P020,S03,household,1,30,10,1,2026-06-08T15:52:01.226311
EVT146897,P010,S04,dairy,17,40,7,1,2026-06-08T15:52:01.226313
EVT191497,P012,S02,frozen,27,45,1,0,2026-06-08T15:52:01.226316
EVT752153,P002,S01,bakery,35,35,4,0,2026-06-08T15:52:01.226319
EVT748286,P018,S01,household,11,30,7,1,2026-06-08T15:52:01.226321
EVT389523,P011,S03,beverages,10,60,7,0,2026-06-08T15:52:01.226324
EVT806959,P006,S04,frozen,0,45,2,0,2026-06-08T15:52:01.226326
EVT358276,P007,S03,bakery,20,35,6,0,2026-06-08T15:52:01.226329
EVT889664,P003,S02,dairy,17,40,15,0,2026-06-08T15:52:01.226332
EVT121650,P018,S04,beverages,2,60,6,1,2026-06-08T15:52:01.226334
EVT485585,P004,S04,dairy,36,40,1,0,2026-06-08T15:52:01.226337
EVT356869,P010,S03,frozen,40,45,6,0,2026-06-08T15:52:01.226339
EVT567695,P010,S01,snacks,12,50,6,1,2026-06-08T15:52:01.226342
EVT531761,P008,S01,beverages,4,60,11,0,2026-06-08T15:52:01.226344
EVT665889,P011,S01,dairy,37,40,3,0,2026-06-08T15:52:01.226347
EVT546212,P017,S01,household,2,30,10,0,2026-06-08T15:52:01.226349
EVT928025,P019,S01,bakery,14,35,8,0,2026-06-08T15:52:01.226352
EVT770715,P013,S04,snacks,30,50,0,0,2026-06-08T15:52:01.226355
EVT566204,P010,S03,dairy,18,40,8,0,2026-06-08T15:52:01.226357
EVT768799,P016,S03,frozen,33,45,4,0,2026-06-08T15:52:01.226360
EVT625473,P002,S04,snacks,3,50,15,0,2026-06-08T15:52:01.226362
EVT268229,P019,S02,dairy,6,40,5,0,2026-06-08T15:52:01.226365
EVT678591,P002,S04,snacks,23,50,5,0,2026-06-08T15:52:01.226368
EVT562809,P018,S03,beverages,60,60,2,0,2026-06-08T15:52:01.226370
EVT616189,P005,S04,frozen,36,45,1,0,2026-06-08T15:52:01.226373
EVT882848,P009,S01,bakery,7,35,11,0,2026-06-08T15:52:01.226375
EVT329955,P006,S01,dairy,23,40,3,0,2026-06-08T15:52:01.226378
EVT869823,P006,S03,bakery,32,35,1,0,2026-06-08T15:52:01.226380
EVT352727,P008,S02,bakery,3,35,5,0,2026-06-08T15:52:01.226383
EVT989226,P015,S02,dairy,39,40,2,0,2026-06-08T15:52:01.226385
EVT864352,P006,S01,bakery,28,35,0,0,2026-06-08T15:52:01.226388
EVT758402,P007,S03,household,6,30,17,0,2026-06-08T15:52:01.226391
EVT720341,P011,S04,bakery,8,35,16,0,2026-06-08T15:52:01.226393
EVT477991,P007,S03,household,30,30,0,0,2026-06-08T15:52:01.226396
EVT667641,P009,S03,bakery,16,35,4,0,2026-06-08T15:52:01.226398
EVT107127,P017,S01,beverages,14,60,8,0,2026-06-08T15:52:01.226401
EVT667017,P013,S02,household,16,30,7,0,2026-06-08T15:52:01.226403
EVT392300,P013,S01,beverages,53,60,3,0,2026-06-08T15:52:01.226406
EVT252870,P011,S04,frozen,17,45,9,0,2026-06-08T15:52:01.226408
EVT482833,P018,S04,dairy,1,40,5,0,2026-06-08T15:52:01.226411
EVT300657,P016,S03,household,23,30,5,0,2026-06-08T15:52:01.226414
EVT394353,P007,S04,bakery,18,35,0,0,2026-06-08T15:52:01.226416
EVT900702,P004,S03,beverages,12,60,9,1,2026-06-08T15:52:01.226419
EVT894148,P014,S03,bakery,3,35,3,0,2026-06-08T15:52:01.226421
EVT378194,P017,S03,bakery,14,35,9,0,2026-06-08T15:52:01.226429
EVT457602,P019,S04,beverages,4,60,13,0,2026-06-08T15:52:01.226432
EVT123961,P010,S04,frozen,1,45,16,0,2026-06-08T15:52:01.226434
EVT573852,P008,S04,household,11,30,16,0,2026-06-08T15:52:01.226437
EVT687109,P013,S03,bakery,12,35,11,0,2026-06-08T15:52:01.226439
EVT767536,P008,S01,household,28,30,2,0,2026-06-08T15:52:01.226441
EVT456156,P001,S03,beverages,31,60,1,0,2026-06-08T15:52:01.226444
EVT328850,P010,S02,household,16,30,3,0,2026-06-08T15:52:01.226446
EVT763397,P007,S02,beverages,2,60,10,0,2026-06-08T15:52:01.226449
EVT152735,P006,S02,snacks,3,50,18,0,2026-06-08T15:52:01.226451
EVT479312,P014,S03,household,15,30,6,0,2026-06-08T15:52:01.226454
EVT763543,P005,S03,snacks,20,50,15,0,2026-06-08T15:52:01.226457
EVT779376,P007,S04,household,13,30,11,0,2026-06-08T15:52:01.226459
EVT471562,P003,S02,dairy,6,40,11,0,2026-06-08T15:52:01.226461
EVT111474,P015,S02,dairy,5,40,3,0,2026-06-08T15:52:01.226464
EVT724679,P019,S04,snacks,1,50,7,1,2026-06-08T15:52:01.226466
EVT952150,P005,S04,frozen,21,45,3,1,2026-06-08T15:52:01.226469
EVT486027,P016,S04,snacks,16,50,11,0,2026-06-08T15:52:01.226471
EVT489724,P020,S02,beverages,1,60,16,0,2026-06-08T15:52:01.226473
EVT703141,P020,S03,beverages,3,60,4,0,2026-06-08T15:52:01.226476
EVT563409,P007,S01,bakery,24,35,4,0,2026-06-08T15:52:01.226478
EVT264870,P008,S02,beverages,9,60,6,1,2026-06-08T15:52:01.226481
EVT981767,P010,S02,household,5,30,6,1,2026-06-08T15:52:01.226483
EVT160656,P014,S03,bakery,7,35,2,0,2026-06-08T15:52:01.226486
EVT270762,P014,S04,frozen,1,45,5,0,2026-06-08T15:52:01.226488
EVT903937,P014,S04,snacks,35,50,4,0,2026-06-08T15:52:01.226490
EVT163009,P015,S02,bakery,14,35,14,0,2026-06-08T15:52:01.226493
EVT267889,P014,S01,dairy,3,40,10,1,2026-06-08T15:52:01.226495
EVT139519,P015,S02,beverages,26,60,14,0,2026-06-08T15:52:01.226497
EVT613135,P013,S02,snacks,10,50,5,0,2026-06-08T15:52:01.226500
EVT554163,P010,S02,bakery,35,35,2,0,2026-06-08T15:52:01.226502
EVT982598,P011,S03,beverages,25,60,13,0,2026-06-08T15:52:01.226504
EVT949289,P016,S03,frozen,43,45,3,0,2026-06-08T15:52:01.226507
EVT900391,P013,S01,household,4,30,10,0,2026-06-08T15:52:01.226509
EVT214640,P004,S04,beverages,7,60,12,0,2026-06-08T15:52:01.226511
EVT498757,P019,S03,snacks,32,50,4,0,2026-06-08T15:52:01.226514
EVT111772,P020,S02,snacks,8,50,9,0,2026-06-08T15:52:01.226516
EVT463620,P017,S02,dairy,10,40,6,1,2026-06-08T15:52:01.226518
EVT982309,P016,S01,household,11,30,16,0,2026-06-08T15:52:01.226521
EVT249515,P018,S04,dairy,8,40,12,0,2026-06-08T15:52:01.226524
EVT706968,P004,S03,beverages,5,60,10,0,2026-06-08T15:52:01.226526
EVT337050,P004,S03,beverages,53,60,6,0,2026-06-08T15:52:01.226539
EVT658369,P019,S01,bakery,9,35,15,0,2026-06-08T15:52:01.226541
EVT808124,P012,S01,dairy,2,40,2,0,2026-06-08T15:52:01.226544
EVT220588,P006,S03,frozen,43,45,5,0,2026-06-08T15:52:01.226546
EVT677824,P015,S03,frozen,33,45,6,0,2026-06-08T15:52:01.226548
EVT613330,P005,S04,dairy,3,40,17,0,2026-06-08T15:52:01.226551
EVT977299,P015,S04,household,17,30,0,0,2026-06-08T15:52:01.226553
EVT584835,P002,S02,snacks,2,50,1,0,2026-06-08T15:52:01.226556
EVT261746,P020,S04,frozen,12,45,9,0,2026-06-08T15:52:01.226558
EVT846086,P016,S03,dairy,5,40,16,0,2026-06-08T15:52:01.226561
EVT336326,P005,S01,bakery,21,35,5,0,2026-06-08T15:52:01.226563
EVT877037,P012,S02,beverages,2,60,4,0,2026-06-08T15:52:01.226565
EVT763083,P001,S01,bakery,15,35,15,0,2026-06-08T15:52:01.226568
EVT521432,P005,S03,bakery,1,35,11,1,2026-06-08T15:52:01.226570
EVT188650,P012,S04,frozen,4,45,10,0,2026-06-08T15:52:01.226572
EVT888654,P008,S03,bakery,13,35,6,1,2026-06-08T15:52:01.226575
EVT884777,P009,S04,bakery,13,35,11,0,2026-06-08T15:52:01.226577
EVT592841,P012,S04,snacks,4,50,3,0,2026-06-08T15:52:01.226580
EVT975275,P020,S04,household,1,30,16,0,2026-06-08T15:52:01.226583
EVT246827,P015,S01,bakery,8,35,12,0,2026-06-08T15:52:01.226585
EVT684690,P016,S04,frozen,27,45,5,0,2026-06-08T15:52:01.226587
EVT568535,P007,S03,snacks,12,50,14,0,2026-06-08T15:52:01.226590
EVT706112,P015,S04,beverages,24,60,10,0,2026-06-08T15:52:01.226592
EVT781136,P006,S03,frozen,1,45,15,0,2026-06-08T15:52:01.226595
EVT872929,P018,S03,household,10,30,12,1,2026-06-08T15:52:01.226597
EVT722062,P017,S01,bakery,25,35,6,0,2026-06-08T15:52:01.226600
EVT585008,P012,S02,beverages,58,60,3,0,2026-06-08T15:52:01.226602
EVT289173,P015,S01,beverages,18,60,6,1,2026-06-08T15:52:01.226604
EVT731563,P010,S02,snacks,2,50,10,1,2026-06-08T15:52:01.226607
EVT964927,P001,S03,bakery,13,35,15,0,2026-06-08T15:52:01.226609
EVT549859,P003,S01,household,10,30,8,0,2026-06-08T15:52:01.226612
EVT526626,P018,S04,dairy,22,40,5,0,2026-06-08T15:52:01.226614
EVT716621,P010,S04,household,1,30,4,0,2026-06-08T15:52:01.226617
EVT169800,P016,S01,beverages,37,60,3,0,2026-06-08T15:52:01.226619
EVT641587,P016,S02,snacks,47,50,6,0,2026-06-08T15:52:01.226622
EVT458211,P013,S02,frozen,31,45,3,0,2026-06-08T15:52:01.226624
EVT362248,P002,S01,beverages,52,60,5,0,2026-06-08T15:52:01.226626
EVT170645,P010,S03,bakery,10,35,2,0,2026-06-08T15:52:01.226629
EVT694009,P009,S02,snacks,19,50,14,0,2026-06-08T15:52:01.226632
EVT874324,P012,S04,beverages,5,60,14,0,2026-06-08T15:52:01.226634
EVT590756,P001,S02,frozen,44,45,3,0,2026-06-08T15:52:01.226636
EVT741188,P019,S04,dairy,3,40,14,0,2026-06-08T15:52:01.226639
EVT541028,P012,S02,frozen,3,45,13,0,2026-06-08T15:52:01.226641
EVT310938,P017,S01,snacks,8,50,4,0,2026-06-08T15:52:01.226643
EVT413634,P006,S04,frozen,44,45,3,0,2026-06-08T15:52:01.226646
EVT591212,P006,S03,household,2,30,3,0,2026-06-08T15:52:01.226648
EVT978598,P019,S04,dairy,31,40,5,0,2026-06-08T15:52:01.226651
EVT318422,P011,S03,frozen,30,45,1,0,2026-06-08T15:52:01.226653
EVT386999,P013,S01,dairy,31,40,3,0,2026-06-08T15:52:01.226655
EVT573205,P007,S01,beverages,4,60,6,1,2026-06-08T15:52:01.226658
EVT167050,P015,S04,beverages,10,60,13,1,2026-06-08T15:52:01.226660
EVT476017,P013,S02,snacks,6,50,17,0,2026-06-08T15:52:01.226662
EVT535454,P020,S01,bakery,21,35,5,0,2026-06-08T15:52:01.226665
EVT177122,P009,S03,dairy,3,40,13,0,2026-06-08T15:52:01.226667
EVT511784,P011,S04,beverages,8,60,2,0,2026-06-08T15:52:01.226669
EVT724038,P020,S03,snacks,2,50,15,0,2026-06-08T15:52:01.226672
EVT684252,P002,S01,snacks,33,50,1,0,2026-06-08T15:52:01.226674
EVT551119,P006,S01,dairy,18,40,16,0,2026-06-08T15:52:01.226679
EVT586692,P003,S02,household,6,30,9,1,2026-06-08T15:52:01.226682
EVT952939,P020,S01,frozen,28,45,3,0,2026-06-08T15:52:01.226684
EVT927624,P019,S01,snacks,37,50,5,1,2026-06-08T15:52:01.226687
EVT520163,P002,S01,snacks,29,50,3,0,2026-06-08T15:52:01.226689
EVT976827,P013,S01,snacks,10,50,10,0,2026-06-08T15:52:01.226692
EVT102013,P019,S03,beverages,16,60,10,0,2026-06-08T15:52:01.226694
EVT417551,P003,S01,dairy,35,40,0,0,2026-06-08T15:52:01.226696
EVT808860,P006,S01,bakery,28,35,5,1,2026-06-08T15:52:01.226699
EVT719562,P010,S03,beverages,21,60,10,0,2026-06-08T15:52:01.226701
EVT853128,P006,S01,snacks,22,50,8,0,2026-06-08T15:52:01.226704
EVT967557,P009,S04,snacks,38,50,2,0,2026-06-08T15:52:01.226706
EVT682204,P019,S03,household,22,30,0,0,2026-06-08T15:52:01.226709
EVT436044,P004,S03,bakery,28,35,2,0,2026-06-08T15:52:01.226711
EVT946866,P015,S01,frozen,43,45,5,0,2026-06-08T15:52:01.226714
EVT254162,P009,S02,snacks,49,50,5,0,2026-06-08T15:52:01.226717
EVT898000,P005,S04,snacks,8,50,12,0,2026-06-08T15:52:01.226719
EVT128496,P005,S02,snacks,22,50,3,1,2026-06-08T15:52:01.226721
EVT381682,P011,S01,snacks,46,50,0,0,2026-06-08T15:52:01.226724
EVT192942,P007,S01,bakery,1,35,14,1,2026-06-08T15:52:01.226726
EVT963874,P007,S03,bakery,11,35,11,1,2026-06-08T15:52:01.226729
EVT967197,P017,S01,beverages,0,60,13,0,2026-06-08T15:52:01.226731
EVT248039,P017,S04,beverages,42,60,3,1,2026-06-08T15:52:01.226734
EVT426857,P014,S04,snacks,22,50,4,0,2026-06-08T15:52:01.226736
EVT800964,P007,S01,snacks,4,50,11,1,2026-06-08T15:52:01.226738
EVT436615,P010,S04,frozen,16,45,14,0,2026-06-08T15:52:01.226741
EVT717113,P003,S02,bakery,17,35,8,0,2026-06-08T15:52:01.226743
EVT941998,P016,S01,beverages,54,60,6,0,2026-06-08T15:52:01.226746
EVT600662,P001,S03,household,22,30,3,0,2026-06-08T15:52:01.226748
EVT623013,P005,S02,bakery,6,35,18,0,2026-06-08T15:52:01.226750
EVT251661,P016,S01,frozen,10,45,2,0,2026-06-08T15:52:01.226753
EVT679405,P019,S03,beverages,17,60,12,0,2026-06-08T15:52:01.226755
EVT718901,P014,S03,bakery,24,35,4,0,2026-06-08T15:52:01.226757
EVT994417,P006,S01,dairy,37,40,1,0,2026-06-08T15:52:01.226760
EVT146512,P013,S01,frozen,18,45,13,0,2026-06-08T15:52:01.226762
EVT467926,P011,S03,dairy,28,40,1,0,2026-06-08T15:52:01.226765
EVT447841,P010,S04,bakery,9,35,8,0,2026-06-08T15:52:01.226767
EVT684417,P006,S03,bakery,8,35,13,0,2026-06-08T15:52:01.226770
EVT372346,P014,S03,snacks,49,50,0,0,2026-06-08T15:52:01.226772
EVT518704,P005,S01,snacks,30,50,1,0,2026-06-08T15:52:01.226778
EVT957183,P015,S01,dairy,37,40,2,0,2026-06-08T15:52:01.226781
EVT170525,P016,S02,frozen,6,45,5,0,2026-06-08T15:52:01.226783
EVT393489,P013,S01,household,21,30,3,0,2026-06-08T15:52:01.226786
EVT595297,P019,S02,beverages,31,60,0,0,2026-06-08T15:52:01.226802
EVT933323,P001,S02,bakery,17,35,5,1,2026-06-08T15:52:01.226806
EVT411826,P001,S04,frozen,4,45,13,0,2026-06-08T15:52:01.226809
EVT877244,P010,S04,snacks,42,50,4,1,2026-06-08T15:52:01.226812
EVT765486,P002,S04,frozen,4,45,1,0,2026-06-08T15:52:01.226816
EVT630498,P007,S01,snacks,6,50,4,0,2026-06-08T15:52:01.226819
EVT659883,P010,S01,household,8,30,11,0,2026-06-08T15:52:01.226823
EVT711434,P004,S02,frozen,13,45,11,0,2026-06-08T15:52:01.226827
EVT188133,P017,S03,beverages,21,60,15,0,2026-06-08T15:52:01.226830
EVT429516,P002,S04,snacks,34,50,0,0,2026-06-08T15:52:01.226833
EVT686670,P005,S04,bakery,10,35,0,0,2026-06-08T15:52:01.226836
EVT267112,P009,S02,beverages,7,60,5,0,2026-06-08T15:52:01.226838
EVT648075,P017,S01,frozen,6,45,10,0,2026-06-08T15:52:01.226841
EVT138596,P001,S03,dairy,19,40,2,0,2026-06-08T15:52:01.226844
EVT990810,P014,S04,snacks,4,50,3,0,2026-06-08T15:52:01.226846
EVT197910,P003,S02,beverages,4,60,13,0,2026-06-08T15:52:01.226849
EVT379781,P020,S03,dairy,6,40,4,0,2026-06-08T15:52:01.226852
EVT645882,P006,S02,snacks,27,50,6,0,2026-06-08T15:52:01.226854
EVT689671,P005,S03,beverages,12,60,9,1,2026-06-08T15:52:01.226857
EVT403151,P003,S01,snacks,3,50,9,1,2026-06-08T15:52:01.226859
EVT241648,P014,S03,bakery,33,35,2,0,2026-06-08T15:52:01.226862
EVT649248,P002,S01,beverages,5,60,8,1,2026-06-08T15:52:01.226865
EVT836021,P002,S03,bakery,11,35,9,0,2026-06-08T15:52:01.226868
EVT864739,P019,S04,beverages,13,60,16,0,2026-06-08T15:52:01.226870
EVT272214,P002,S02,bakery,4,35,15,1,2026-06-08T15:52:01.226873
EVT607558,P020,S04,household,2,30,0,0,2026-06-08T15:52:01.226875
EVT626391,P009,S01,beverages,3,60,15,0,2026-06-08T15:52:01.226878
EVT360296,P004,S02,dairy,13,40,11,1,2026-06-08T15:52:01.226881
EVT449980,P005,S04,frozen,28,45,4,1,2026-06-08T15:52:01.226889
EVT638110,P005,S04,bakery,28,35,5,0,2026-06-08T15:52:01.226892
EVT420058,P016,S03,household,3,30,10,1,2026-06-08T15:52:01.226895
EVT100048,P002,S01,bakery,14,35,13,0,2026-06-08T15:52:01.226898
EVT585335,P007,S04,bakery,20,35,2,0,2026-06-08T15:52:01.226900
EVT540796,P007,S04,household,25,30,5,0,2026-06-08T15:52:01.226903
EVT629690,P005,S02,snacks,10,50,16,0,2026-06-08T15:52:01.226906
EVT193462,P019,S01,household,5,30,15,1,2026-06-08T15:52:01.226909
EVT972125,P011,S01,household,4,30,15,0,2026-06-08T15:52:01.226912
EVT591206,P010,S03,bakery,1,35,10,0,2026-06-08T15:52:01.226914
EVT645041,P018,S02,beverages,17,60,16,0,2026-06-08T15:52:01.226917
EVT690909,P011,S02,household,20,30,2,0,2026-06-08T15:52:01.226920
EVT974916,P004,S04,frozen,9,45,6,1,2026-06-08T15:52:01.226923
EVT322584,P017,S02,snacks,16,50,15,0,2026-06-08T15:52:01.226925
EVT252775,P007,S04,beverages,2,60,16,0,2026-06-08T15:52:01.226928
EVT277379,P011,S04,beverages,12,60,10,0,2026-06-08T15:52:01.226931
EVT155660,P009,S01,dairy,17,40,12,0,2026-06-08T15:52:01.226933
EVT504272,P019,S03,beverages,58,60,5,0,2026-06-08T15:52:01.226936
EVT735885,P019,S02,snacks,4,50,10,1,2026-06-08T15:52:01.226939
EVT314947,P017,S02,bakery,19,35,6,1,2026-06-08T15:52:01.226941
EVT545184,P017,S02,beverages,30,60,2,0,2026-06-08T15:52:01.226944
EVT212124,P018,S04,snacks,5,50,7,1,2026-06-08T15:52:01.226947
EVT565805,P007,S02,household,8,30,12,0,2026-06-08T15:52:01.226949
EVT528530,P007,S03,dairy,27,40,3,1,2026-06-08T15:52:01.226952
EVT223488,P011,S03,bakery,21,35,0,0,2026-06-08T15:52:01.226955
EVT612041,P008,S03,beverages,5,60,12,0,2026-06-08T15:52:01.226957
EVT577332,P003,S04,frozen,11,45,15,0,2026-06-08T15:52:01.226960
EVT213006,P018,S03,bakery,10,35,6,0,2026-06-08T15:52:01.226963
EVT714975,P011,S01,dairy,33,40,6,0,2026-06-08T15:52:01.226966
EVT816852,P001,S03,household,16,30,2,0,2026-06-08T15:52:01.226968
EVT957851,P005,S01,bakery,4,35,18,0,2026-06-08T15:52:01.226971
EVT467026,P014,S04,household,25,30,0,0,2026-06-08T15:52:01.226973
EVT444450,P011,S04,beverages,55,60,0,0,2026-06-08T15:52:01.226976
EVT341723,P019,S04,household,6,30,13,0,2026-06-08T15:52:01.226979
EVT258583,P008,S04,beverages,6,60,14,1,2026-06-08T15:52:01.226982
EVT488320,P020,S02,dairy,21,40,2,0,2026-06-08T15:52:01.226984
EVT517430,P006,S03,snacks,1,50,12,0,2026-06-08T15:52:01.226987
EVT578078,P013,S02,household,11,30,15,1,2026-06-08T15:52:01.226989
EVT490185,P006,S04,beverages,1,60,4,0,2026-06-08T15:52:01.226992
EVT301457,P003,S03,bakery,34,35,5,0,2026-06-08T15:52:01.226994
EVT253685,P002,S03,household,14,30,5,1,2026-06-08T15:52:01.226997
EVT176419,P001,S04,snacks,4,50,15,0,2026-06-08T15:52:01.227000
EVT324573,P014,S03,dairy,40,40,2,1,2026-06-08T15:52:01.227002
EVT667334,P002,S03,household,26,30,2,0,2026-06-08T15:52:01.227005
EVT903724,P009,S02,snacks,23,50,6,0,2026-06-08T15:52:01.227018
EVT198534,P012,S02,snacks,30,50,1,1,2026-06-08T15:52:01.227021
EVT309438,P002,S03,snacks,32,50,0,0,2026-06-08T15:52:01.227024
EVT805735,P002,S04,frozen,8,45,9,0,2026-06-08T15:52:01.227027
EVT694888,P009,S02,bakery,23,35,2,0,2026-06-08T15:52:01.227029
EVT384133,P008,S01,frozen,4,45,14,0,2026-06-08T15:52:01.227032
EVT198502,P019,S02,dairy,6,40,8,1,2026-06-08T15:52:01.227034
EVT375037,P003,S02,dairy,35,40,0,0,2026-06-08T15:52:01.227037
EVT698302,P004,S03,beverages,7,60,11,0,2026-06-08T15:52:01.227039
EVT180725,P007,S01,frozen,9,45,11,1,2026-06-08T15:52:01.227042
EVT775702,P010,S01,dairy,27,40,6,0,2026-06-08T15:52:01.227044
EVT194578,P010,S03,frozen,6,45,5,0,2026-06-08T15:52:01.227047
EVT488152,P016,S03,beverages,31,60,5,1,2026-06-08T15:52:01.227049
EVT622686,P005,S02,beverages,59,60,6,0,2026-06-08T15:52:01.227052
EVT262209,P005,S03,household,9,30,8,1,2026-06-08T15:52:01.227054
